Node Number	X Location (m)	Y Location (m)	Z Location (m)	
342	-1.0313e-003	-2.3805e-003	0.	
343	-9.3067e-004	2.7197e-003	0.	
344	9.355e-004	-2.7221e-003	0.	
345	7.1112e-004	2.9596e-003	0.	
346	-1.6519e-004	3.6066e-003	0.	
347	-6.7838e-004	-2.9845e-003	0.	
348	1.674e-004	-3.6069e-003	0.	
349	-4.9991e-004	2.0372e-003	0.	
350	4.9954e-004	-2.0391e-003	0.	
351	-6.8245e-004	-2.3927e-004	0.	
352	-1.0323e-003	-2.6982e-003	0.	
353	-6.8239e-004	7.6077e-004	0.	
354	3.1763e-004	-2.3918e-004	0.	
355	3.1762e-004	7.608e-004	0.	
356	-7.3095e-004	-6.902e-004	0.	
357	-7.4212e-004	3.051e-004	0.	
358	1.0408e-003	2.6856e-003	0.	
359	2.3267e-004	-7.2016e-004	0.	
360	2.6321e-004	2.9349e-004	0.	
361	-3.0593e-004	-7.4297e-004	0.	
362	-2.9155e-004	2.6049e-004	0.	
363	7.0476e-004	-7.4018e-004	0.	
364	7.0824e-004	2.5664e-004	0.	
365	-2.5885e-004	-2.969e-004	0.	
366	7.4432e-004	-3.0536e-004	0.	
367	-2.6675e-004	6.8506e-004	0.	
368	7.4243e-004	7.0231e-004	0.	
369	-6.8234e-004	1.7608e-003	0.	
370	3.1764e-004	1.7608e-003	0.	
371	-6.8242e-004	-1.2392e-003	0.	
372	3.176e-004	-1.2392e-003	0.	
373	5.6395e-004	-2.8555e-003	0.	
374	-7.389e-004	1.2918e-003	0.	
375	2.6209e-004	1.2984e-003	0.	
376	-5.5601e-004	2.8528e-003	0.	
377	-7.3934e-004	-1.7078e-003	0.	
378	2.7521e-004	-1.6956e-003	0.	
379	-2.9195e-004	1.257e-003	0.	
380	7.0524e-004	1.2835e-003	0.	
381	-2.9357e-004	-1.7418e-003	0.	
382	6.9782e-004	-1.7436e-003	0.	
383	-2.5366e-004	1.7027e-003	0.	
384	-2.5435e-004	-1.2975e-003	0.	
385	7.6475e-004	1.7072e-003	0.	
386	7.435e-004	-1.2918e-003	0.	
387	-7.2813e-004	-2.2935e-003	0.	
388	-8.5247e-004	2.3664e-003	0.	
389	7.3437e-005	2.3703e-003	0.	
390	7.3539e-004	2.2957e-003	0.	
391	8.4789e-004	-2.3707e-003	0.	
392	-6.8534e-005	-2.3514e-003	0.	
393	-1.1867e-003	-2.382e-003	0.	
394	1.8363e-004	-2.3779e-003	0.	
395	1.2013e-003	2.3971e-003	0.	
396	-1.9198e-004	2.439e-003	0.	
397	-1.1597e-003	-3.2543e-003	0.	
398	1.1574e-003	3.2443e-003	0.	
399	-6.1575e-004	2.2815e-003	0.	
400	-3.2912e-004	-2.3307e-003	0.	
401	3.3047e-004	2.3234e-003	0.	
402	-1.254e-003	2.9632e-003	0.	
403	1.2555e-003	-2.9633e-003	0.	
404	-3.3678e-004	2.352e-003	0.	
405	6.2091e-004	-2.2829e-003	0.	
406	3.6804e-004	-2.2503e-003	0.	
407	-1.353e-003	1.6823e-003	0.	
408	-1.3475e-003	-2.4603e-004	0.	
409	1.3354e-003	-1.6804e-003	0.	
410	2.2808e-004	2.6057e-003	0.	
411	1.3151e-003	6.0279e-004	0.	
412	-1.9805e-004	-2.576e-003	0.	
413	-1.3528e-003	6.0681e-004	0.	
414	1.3118e-003	3.0014e-004	0.	
415	-1.3579e-003	-1.6747e-003	0.	
416	-1.3111e-003	-6.0255e-004	0.	
417	8.5974e-004	-3.0496e-003	0.	
418	-8.5709e-004	3.0494e-003	0.	
419	-8.1109e-004	3.9427e-003	0.	
420	8.118e-004	-3.9428e-003	0.	
421	1.3637e-003	1.6718e-003	0.	
422	-1.3436e-003	-1.271e-003	0.	
423	1.3556e-003	-6.1019e-004	0.	
424	-1.3094e-003	2.8872e-004	0.	
425	1.3291e-003	1.283e-003	0.	
426	-4.6351e-004	-7.384e-004	0.	
427	5.3616e-004	-7.0575e-004	0.	
428	1.3133e-003	-2.8759e-004	0.	
429	-1.3078e-003	1.2653e-003	0.	
430	-5.0895e-004	7.0944e-004	0.	
431	4.8736e-004	7.0875e-004	0.	
432	6.8089e-004	5.2057e-004	0.	
433	7.2158e-004	-4.7719e-004	0.	
434	-7.3678e-004	-5.3173e-004	0.	
435	-4.4847e-004	2.8629e-004	0.	
436	5.3196e-004	2.8886e-004	0.	
437	-7.3363e-004	4.7e-004	0.	
438	1.3555e-003	1.4869e-003	0.	
439	1.3598e-003	-1.3065e-003	0.	
440	1.3161e-003	-1.5033e-003	0.	
441	-7.619e-004	-2.4711e-003	0.	
442	-5.0366e-004	-2.8457e-004	0.	
443	7.6787e-004	2.4713e-003	0.	
444	-1.3127e-003	1.5021e-003	0.	
445	-1.3093e-003	-1.4789e-003	0.	
446	4.8834e-004	-3.0659e-004	0.	
447	-2.871e-004	5.0443e-004	0.	
448	-2.9062e-004	-4.5816e-004	0.	
449	2.5343e-004	-4.8756e-004	0.	
450	3.0927e-004	4.7906e-004	0.	
451	-1.3479e-003	2.5279e-003	0.	
452	-1.0535e-003	-3.8052e-003	0.	
453	1.0274e-003	3.792e-003	0.	
454	-1.04e-003	2.4061e-003	0.	
455	1.0441e-003	-2.4063e-003	0.	
456	1.35e-003	-2.5249e-003	0.	
457	-1.8422e-004	-3.4022e-003	0.	
458	1.8682e-004	3.4015e-003	0.	
459	1.0023e-003	3.0104e-003	0.	
460	-1.0055e-003	-2.9524e-003	0.	
461	-4.6784e-004	1.2837e-003	0.	
462	5.3224e-004	1.3132e-003	0.	
463	-4.6628e-004	-1.715e-003	0.	
464	5.3536e-004	-1.7375e-003	0.	
465	4.8863e-004	-1.2911e-003	0.	
466	4.8729e-004	1.7085e-003	0.	
467	6.342e-004	7.9269e-004	0.	
468	-5.1273e-004	-1.2916e-003	0.	
469	-3.8081e-004	7.7346e-004	0.	
470	-5.0924e-004	1.7099e-003	0.	
471	-7.7613e-004	6.3281e-004	0.	
472	-7.7615e-004	-3.6726e-004	0.	
473	-4.464e-004	3.3107e-003	0.	
474	-1.318e-003	-2.5228e-003	0.	
475	4.4885e-004	-3.311e-003	0.	
476	-2.8094e-004	-1.47e-003	0.	
477	2.8958e-004	1.472e-003	0.	
478	7.8281e-004	-6.291e-004	0.	
479	1.3202e-003	2.5067e-003	0.	
480	-3.6623e-004	-2.0807e-004	0.	
481	-6.1157e-004	-7.8614e-004	0.	
482	7.9382e-004	3.6969e-004	0.	
483	2.1239e-004	-3.6073e-004	0.	
