Node Number	X Location (m)	Y Location (m)	Z Location (m)	
419	2.1379e-003	3.7915e-003	0.	
420	2.2246e-003	3.8903e-003	0.	
421	-1.75e-003	5.e-003	0.	
422	-1.7841e-003	5.126e-003	0.	
423	-1.8773e-003	5.2178e-003	0.	
424	-2.0036e-003	5.25e-003	0.	
425	-2.1295e-003	5.2139e-003	0.	
426	-2.22e-003	5.1187e-003	0.	
427	-2.2499e-003	4.9917e-003	0.	
428	-2.2114e-003	4.8666e-003	0.	
429	-2.1144e-003	4.7777e-003	0.	
430	-1.986e-003	4.7504e-003	0.	
431	-1.8619e-003	4.7916e-003	0.	
432	-1.7754e-003	4.8902e-003	0.	
433	-7.5e-004	5.e-003	0.	
434	-7.8474e-004	5.1271e-003	0.	
435	-8.7833e-004	5.2184e-003	0.	
436	-1.0049e-003	5.25e-003	0.	
437	-1.1307e-003	5.2131e-003	0.	
438	-1.2206e-003	5.1175e-003	0.	
439	-1.2498e-003	4.9899e-003	0.	
440	-1.2106e-003	4.8653e-003	0.	
441	-1.1141e-003	4.7776e-003	0.	
442	-9.8649e-004	4.7504e-003	0.	
443	-8.6256e-004	4.7912e-003	0.	
444	-7.7583e-004	4.8893e-003	0.	
445	2.5e-004	5.e-003	0.	
446	2.1542e-004	5.1269e-003	0.	
447	1.2221e-004	5.2181e-003	0.	
448	-4.1554e-006	5.25e-003	0.	
449	-1.2942e-004	5.2139e-003	0.	
450	-2.1955e-004	5.1196e-003	0.	
451	-2.4986e-004	4.9915e-003	0.	
452	-2.1112e-004	4.8661e-003	0.	
453	-1.1481e-004	4.7779e-003	0.	
454	1.3428e-005	4.7504e-003	0.	
455	1.3792e-004	4.7915e-003	0.	
456	2.2424e-004	4.8895e-003	0.	
457	1.25e-003	5.e-003	0.	
458	1.2156e-003	5.1265e-003	0.	
459	1.1218e-003	5.2183e-003	0.	
460	9.9475e-004	5.2499e-003	0.	
461	8.6959e-004	5.2133e-003	0.	
462	7.7978e-004	5.1183e-003	0.	
463	7.502e-004	4.9899e-003	0.	
464	7.8984e-004	4.8646e-003	0.	
465	8.8687e-004	4.7771e-003	0.	
466	1.0145e-003	4.7504e-003	0.	
467	1.1382e-003	4.7917e-003	0.	
468	1.2243e-003	4.8897e-003	0.	
469	2.25e-003	5.e-003	0.	
470	2.216e-003	5.126e-003	0.	
471	2.1222e-003	5.2181e-003	0.	
472	1.9954e-003	5.25e-003	0.	
473	1.8701e-003	5.2136e-003	0.	
474	1.78e-003	5.1188e-003	0.	
475	1.7501e-003	4.9917e-003	0.	
476	1.7885e-003	4.8668e-003	0.	
477	1.8849e-003	4.7781e-003	0.	
478	2.0128e-003	4.7503e-003	0.	
479	2.1377e-003	4.7913e-003	0.	
480	2.2245e-003	4.8901e-003	0.	
481	-1.75e-003	6.e-003	0.	
482	-1.7842e-003	6.1263e-003	0.	
483	-1.8777e-003	6.218e-003	0.	
484	-2.0045e-003	6.25e-003	0.	
485	-2.1302e-003	6.2134e-003	0.	
486	-2.2203e-003	6.1182e-003	0.	
487	-2.2498e-003	5.9911e-003	0.	
488	-2.2111e-003	5.866e-003	0.	
489	-2.1138e-003	5.7774e-003	0.	
490	-1.9858e-003	5.7504e-003	0.	
491	-1.8619e-003	5.7916e-003	0.	
492	-1.7754e-003	5.8902e-003	0.	
493	-7.5e-004	6.e-003	0.	
494	-7.846e-004	6.1269e-003	0.	
495	-8.7822e-004	6.2183e-003	0.	
496	-1.0052e-003	6.2499e-003	0.	
497	-1.1308e-003	6.2131e-003	0.	
498	-1.2205e-003	6.1179e-003	0.	
499	-1.2498e-003	5.9907e-003	0.	
500	-1.211e-003	5.8659e-003	0.	
501	-1.1139e-003	5.7775e-003	0.	
502	-9.8597e-004	5.7504e-003	0.	
503	-8.6197e-004	5.7916e-003	0.	
504	-7.7561e-004	5.8898e-003	0.	
505	2.5e-004	6.e-003	0.	
506	2.1542e-004	6.1269e-003	0.	
507	1.2204e-004	6.2182e-003	0.	
508	-4.7185e-006	6.25e-003	0.	
509	-1.3027e-004	6.2134e-003	0.	
510	-2.2009e-004	6.1186e-003	0.	
511	-2.4982e-004	5.9904e-003	0.	
512	-2.1053e-004	5.8652e-003	0.	
513	-1.1381e-004	5.7774e-003	0.	
514	1.397e-005	5.7504e-003	0.	
515	1.3803e-004	5.7916e-003	0.	
516	2.2432e-004	5.8896e-003	0.	
517	1.25e-003	6.e-003	0.	
518	1.2158e-003	6.1263e-003	0.	
519	1.1224e-003	6.218e-003	0.	
520	9.9557e-004	6.25e-003	0.	
521	8.6988e-004	6.2135e-003	0.	
522	7.7989e-004	6.1185e-003	0.	
523	7.5018e-004	5.9906e-003	0.	
524	7.8932e-004	5.8654e-003	0.	
525	8.8598e-004	5.7775e-003	0.	
526	1.0137e-003	5.7504e-003	0.	
527	1.1381e-003	5.7916e-003	0.	
528	1.2245e-003	5.8901e-003	0.	
529	2.25e-003	6.e-003	0.	
530	2.2159e-003	6.126e-003	0.	
531	2.1225e-003	6.2179e-003	0.	
532	1.9957e-003	6.25e-003	0.	
533	1.87e-003	6.2136e-003	0.	
534	1.7799e-003	6.1185e-003	0.	
535	1.7502e-003	5.9911e-003	0.	
536	1.7889e-003	5.8661e-003	0.	
537	1.8856e-003	5.7777e-003	0.	
538	2.0132e-003	5.7503e-003	0.	
539	2.1377e-003	5.7913e-003	0.	
540	2.2246e-003	5.8901e-003	0.	
541	-1.75e-003	7.e-003	0.	
542	-1.7843e-003	7.1263e-003	0.	
543	-1.8776e-003	7.218e-003	0.	
544	-2.0052e-003	7.2499e-003	0.	
545	-2.131e-003	7.2129e-003	0.	
546	-2.2205e-003	7.1178e-003	0.	
547	-2.2498e-003	6.9906e-003	0.	
548	-2.2108e-003	6.8657e-003	0.	
